2015 rank,City,State,2010 Census,2014 land area,Location
35,Sacramento,California,466488,97.9 sq mi,38.5666°N 121.4686°W
36,Kansas City,Missouri,459787,315.0 sq mi,39.1252°N 94.5511°W
37,Long Beach,California,462257,50.3 sq mi,33.8091°N 118.1553°W
38,Mesa,Arizona,439041,136.5 sq mi,33.4019°N 111.7174°W
39,Atlanta,Georgia,420003,133.2 sq mi,33.7629°N 84.4227°W
40,Colorado Springs,Colorado,416427,194.5 sq mi,38.8673°N 104.7607°W
41,Virginia Beach,Virginia,437994,249.0 sq mi,36.7793°N 76.0240°W
42,Raleigh,North Carolina,403892,142.9 sq mi,35.8302°N 78.6414°W
43,Omaha,Nebraska,408958,127.1 sq mi,41.2647°N 96.0419°W
44,Miami,Florida,399457,35.9 sq mi,25.7752°N 80.2086°W
45,Oakland,California,390724,55.9 sq mi,37.7699°N 122.2256°W
46,Minneapolis,Minnesota,382578,54.0 sq mi,44.9633°N 93.2683°W
47,Tulsa,Oklahoma,391906,196.8 sq mi,36.1279°N 95.9023°W
48,Wichita,Kansas,382368,159.3 sq mi,37.6907°N 97.3427°W
49,New Orleans,Louisiana,343829,169.4 sq mi,30.0686°N 89.9390°W
50,Arlington,Texas,365438,95.9 sq mi,32.7007°N 97.1247°W
51,Cleveland,Ohio,396815,77.7 sq mi,41.4781°N 81.6795°W
52,Bakersfield,California,347483,142.2 sq mi,35.3212°N 119.0183°W
53,Tampa,Florida,335709,113.4 sq mi,27.9701°N 82.4797°W
54,Aurora,Colorado,325078,154.1 sq mi,39.7082°N 104.8235°W
55,Honolulu,Hawai'i,337256,60.5 sq mi,21.3259°N 157.8453°W
56,Anaheim,California,336265,49.8 sq mi,33.8555°N 117.7601°W
57,Santa Ana,California,324528,27.3 sq mi,33.7365°N 117.8826°W
58,Corpus Christi,Texas,305215,160.6 sq mi,27.7543°N 97.1734°W
59,Riverside,California,303871,81.1 sq mi,33.9381°N 117.3932°W
60,St. Louis,Missouri,319294,61.9 sq mi,38.6357°N 90.2446°W
61,Lexington,Kentucky,295803,283.6 sq mi,38.0402°N 84.4584°W
62,Stockton,California,291707,61.7 sq mi,37.9763°N 121.3133°W
63,Pittsburgh,Pennsylvania,305704,55.4 sq mi,40.4398°N 79.9766°W
64,Saint Paul,Minnesota,285068,52.0 sq mi,44.9489°N 93.1039°W
65,Anchorage,Alaska,291826,"1,704.7 sq mi",61.2176°N 149.8953°W
66,Cincinnati,Ohio,296943,77.9 sq mi,39.1399°N 84.5064°W
67,Henderson,Nevada,257729,107.7 sq mi,36.0122°N 115.0375°W
68,Greensboro,North Carolina,269666,126.5 sq mi,36.0965°N 79.8271°W
69,Plano,Texas,259841,71.6 sq mi,33.0508°N 96.7479°W
70,Newark,New Jersey,277140,24.2 sq mi,40.7242°N 74.1726°W
71,Toledo,Ohio,287208,80.7 sq mi,41.6641°N 83.5819°W
72,Lincoln,Nebraska,258379,89.1 sq mi,40.8090°N 96.6804°W
73,Orlando,Florida,238300,102.4 sq mi,28.4159°N 81.2988°W
74,Chula Vista,California,243916,49.6 sq mi,32.6277°N 117.0152°W
75,Jersey City,New Jersey,247597,14.8 sq mi,40.7114°N 74.0648°W
76,Chandler,Arizona,236123,64.4 sq mi,33.2829°N 111.8549°W
77,Fort Wayne,Indiana,253691,110.6 sq mi,41.0882°N 85.1439°W
78,Buffalo,New York,261310,40.4 sq mi,42.8925°N 78.8597°W
79,Durham,North Carolina,228330,107.4 sq mi,35.9810°N 78.9056°W
80,St. Petersburg,Florida,244769,61.7 sq mi,27.7620°N 82.6441°W
